# wavelength [nm]	QE (FM1)	QE 1sigma-error_if-used-for-FM2	sensitivity_[ppm/mK]
529.0	0.927886665	0.02624	0.393921704
530.0	0.928356821	0.02625	0.392927853
531.0	0.928826977	0.02627	0.391934002
532.0	0.929297132	0.02628	0.390940151
533.0	0.929767288	0.02630	0.389946300
534.0	0.930237443	0.02631	0.388952449
535.0	0.930707598	0.02632	0.387958598
536.0	0.931177754	0.02634	0.386964747
537.0	0.931647909	0.02635	0.385970896
538.0	0.932118065	0.02637	0.384977045
539.0	0.932588221	0.02638	0.383983194
540.0	0.933058376	0.02640	0.382989343
541.0	0.933157978	0.02640	0.383346869
542.0	0.933257580	0.02640	0.383704396
543.0	0.933357182	0.02640	0.384061922
544.0	0.933456783	0.02640	0.384419449
545.0	0.933556385	0.02640	0.384776975
546.0	0.933655987	0.02640	0.385134501
547.0	0.933755589	0.02640	0.385492028
548.0	0.933855191	0.02640	0.385849554
549.0	0.933954793	0.02640	0.386207081
550.0	0.934054394	0.02640	0.386564607
551.0	0.934153996	0.02640	0.386922133
552.0	0.934253598	0.02640	0.387279660
553.0	0.934353200	0.02640	0.387637186
554.0	0.934452802	0.02640	0.387994713
555.0	0.934552404	0.02640	0.388352239
556.0	0.934652006	0.02640	0.388709765
557.0	0.934751607	0.02640	0.389067292
558.0	0.934851209	0.02640	0.389424818
559.0	0.934950811	0.02640	0.389782345
560.0	0.935050413	0.02640	0.390139871
561.0	0.934988148	0.02640	0.391955895
562.0	0.934925883	0.02640	0.393771918
563.0	0.934863618	0.02640	0.395587942
564.0	0.934801354	0.02640	0.397403965
565.0	0.934739089	0.02640	0.399219989
566.0	0.934676824	0.02640	0.401036013
567.0	0.934614559	0.02640	0.402852036
568.0	0.934552294	0.02640	0.404668060
569.0	0.934490029	0.02640	0.406484083
570.0	0.934427765	0.02640	0.408300107
571.0	0.934365500	0.02640	0.410116131
572.0	0.934303235	0.02640	0.411932154
573.0	0.934240970	0.02640	0.413748178
574.0	0.934178705	0.02640	0.415564201
575.0	0.934116440	0.02640	0.417380225
576.0	0.934054175	0.02640	0.419196249
577.0	0.933991911	0.02640	0.421012272
578.0	0.933929646	0.02640	0.422828296
579.0	0.933867381	0.02640	0.424644319
580.0	0.933805116	0.02640	0.426460343
581.0	0.933284719	0.02638	0.427297365
582.0	0.932764322	0.02637	0.428134387
583.0	0.932243925	0.02635	0.428971409
584.0	0.931723527	0.02634	0.429808431
585.0	0.931203130	0.02632	0.430645453
586.0	0.930682733	0.02631	0.431482475
587.0	0.930162336	0.02630	0.432319497
588.0	0.929641939	0.02628	0.433156519
589.0	0.929121542	0.02627	0.433993541
